dataset,K,scope,mask,series,origin_start,pair_prepare,pair_solve,joint,pair_total
beijing,24,origin_week,natural,Changping,9768,3.440000000409782e-05,7.090000144671649e-05,0.0005821000086142,0.0001053000014508143
beijing,24,origin_week,natural,Changping,9936,3.170000854879618e-05,7.350002124439925e-05,0.0005706999945686,0.00010520002979319543
beijing,24,origin_week,natural,Changping,10104,8.060000254772604e-05,5.979998968541622e-05,0.0004946999979437,0.00014039999223314226
beijing,24,origin_week,natural,Changping,10272,1.8799997633323077e-05,4.349998198449612e-05,0.00033189998066499997,6.229997961781919e-05
beijing,24,origin_week,natural,Changping,10440,1.6099991626106203e-05,5.110001075081527e-05,0.0004189000173935,6.720000237692147e-05
beijing,24,origin_week,natural,Changping,10608,4.739999712910503e-05,5.399998917710036e-05,0.0004368999943835,0.00010139998630620539
beijing,24,origin_week,natural,Changping,10776,2.4199995095841587e-05,6.219999340828508e-05,0.0004707999905802,8.639998850412667e-05
beijing,24,origin_week,natural,Changping,10944,1.8000006093643606e-05,5.700001202058047e-05,0.0004336000129113,7.500001811422408e-05
beijing,24,origin_week,natural,Changping,11112,0.0003315000067232,0.00011549999180715531,0.000531999990926,0.0004469999985303553
beijing,24,origin_week,natural,Changping,11280,0.0004555000050459,0.015211700010695401,0.0006027000054017,0.0156672000157413
beijing,24,origin_week,natural,Changping,11448,2.410000888630748e-05,5.739998596254736e-05,0.0005225999921094,8.149999484885484e-05
beijing,24,origin_week,natural,Changping,11616,1.8699996871873736e-05,4.1100007365457714e-05,0.00032140000257634913,5.980000423733145e-05
beijing,24,origin_week,natural,Changping,11784,1.550000160932541e-05,5.119999696034938e-05,0.0003254999901400763,6.669999856967479e-05
beijing,24,origin_week,natural,Changping,11952,1.7600003047846258e-05,4.0799990529194474e-05,0.0003060000017284549,5.839999357704073e-05
beijing,24,origin_week,natural,Changping,12120,0.0003129999968223,0.009212999997543976,0.0005282000056466,0.009525999994366275
beijing,24,origin_week,natural,Changping,12288,0.0002833000035025,0.0068863999913445426,0.00040289999742510005,0.007169699994847042
beijing,24,origin_week,natural,Changping,12456,3.090000245720148e-05,4.08000050811097e-05,0.0003941000031771,7.170000753831118e-05
beijing,24,origin_week,natural,Changping,12624,1.720000000204891e-05,4.9700000090524554e-05,0.0003308000013928,6.690000009257346e-05
beijing,24,origin_week,natural,Changping,12792,1.6000005416572094e-05,5.43000060133636e-05,0.0003973999992011776,7.03000114299357e-05
beijing,24,origin_week,natural,Changping,12960,2.190000668633729e-05,4.9299997044727206e-05,0.000384099970688,7.12000037310645e-05
beijing,24,origin_week,natural,Changping,13128,2.579999272711575e-05,4.850000550504774e-05,0.0003823999868471862,7.429999823216349e-05
beijing,24,origin_week,natural,Changping,13296,1.6299993149004877e-05,3.739999374374747e-05,0.00029099998937450627,5.369998689275235e-05
beijing,24,origin_week,natural,Changping,13464,1.5400000847876072e-05,3.6600016755983233e-05,0.00028459999884938544,5.2000017603859305e-05
beijing,24,origin_week,natural,Changping,13632,1.999999221879989e-05,3.800001286435872e-05,0.00034039998718062145,5.800000508315861e-05
beijing,24,origin_week,natural,Changping,13800,1.579998934175819e-05,3.879998985212296e-05,0.00029870000435031183,5.4599979193881154e-05
beijing,24,origin_week,natural,Changping,13968,2.6000008801929653e-05,4.870000702794641e-05,0.00033819999953255174,7.470001582987607e-05
beijing,24,origin_week,natural,Changping,14136,2.5999994250014424e-05,5.869999586138874e-05,0.0004154999915043313,8.469999011140317e-05
beijing,24,origin_week,natural,Changping,14304,1.6300007700920105e-05,3.7600009818561375e-05,0.0002919999824371066,5.390001751948148e-05
beijing,24,origin_week,natural,Changping,14472,1.5900004655122757e-05,3.759999526664615e-05,0.00028349999047348046,5.3499999921768904e-05
beijing,24,origin_week,natural,Changping,14640,0.0002820000081555,0.004098499994142888,0.0005196000129215999,0.004380500002298388
beijing,24,origin_week,natural,Changping,14808,2.000000677071512e-05,5.0300004659220576e-05,0.0003676999913295,7.03000114299357e-05
beijing,24,origin_week,natural,Changping,14976,1.5300000086426735e-05,4.940001235809177e-05,0.0003616999892983,6.47000124445185e-05
beijing,24,origin_week,natural,Changping,15144,1.9099999917671084e-05,4.6599991037510335e-05,0.0004385999927761,6.569999095518142e-05
beijing,24,origin_week,natural,Changping,15312,1.440000778529793e-05,4.6999994083307683e-05,0.00028100000054100626,6.140000186860561e-05
beijing,24,origin_week,natural,Changping,15480,1.379998866468668e-05,3.6299985367804766e-05,0.00027799999224946724,5.0099974032491446e-05
beijing,24,origin_week,natural,Changping,15648,0.0002245999930892,6.839998241048306e-05,0.0003772999916690306,0.00029299997549968304
beijing,24,origin_week,natural,Changping,15816,0.0002022999979089,7.049999840091914e-05,0.0003086999931838251,0.00027279999630981915
beijing,24,origin_week,natural,Changping,15984,1.6700010746717453e-05,6.949999078642577e-05,0.000439900002675,8.620000153314322e-05
beijing,24,origin_week,natural,Changping,16152,1.68999977177009e-05,4.5199994929134846e-05,0.0003660000074886,6.209999264683574e-05
beijing,24,origin_week,natural,Changping,16320,1.449999399483204e-05,3.630001447163522e-05,0.00028079999901818543,5.080000846646726e-05
beijing,24,origin_week,natural,Changping,16488,1.4000004739500582e-05,3.510000533424318e-05,0.00026590000197757035,4.910001007374376e-05
beijing,24,origin_week,natural,Changping,16656,0.0002426999999443,0.003537199983838923,0.00030869999318380663,0.003779899983783223
beijing,24,origin_week,natural,Changping,16824,2.36999912885949e-05,3.860000288113952e-05,0.0003011000080732232,6.229999416973442e-05
beijing,24,origin_week,natural,Changping,16992,1.4300007023848592e-05,4.6499990276061e-05,0.00032160000409918655,6.079999729990959e-05
